schedule_label,cooling_factor,optimizer_seed,final_block,final_causal_f1,final_recall,final_missing_relations_count,final_extra_relations_count,final_energy_eave,best_block,best_causal_f1,best_recall,best_missing_relations_count,best_extra_relations_count,energy_at_best_causal_f1,delta_best_minus_final_f1,delta_best_minus_final_recall,delta_missing_best_minus_final,delta_extra_best_minus_final,best_checkpoint_before_final,best_checkpoint_is_final,min_energy_block,min_energy_eave,best_f1_block_equals_min_energy_block
gamma_0p5,0.5,1959,8,0.4214559387,0.3206997085,233,69,225.8871118,6,0.5488215488,0.4752186589,180,88,318.6684922,0.1273656101,0.1545189504,-53,19,true,false,8,225.8871118,false
gamma_0p5,0.5,1962,8,0.6095551895,0.5393586006,158,79,220.3473174,8,0.6095551895,0.5393586006,158,79,220.3473174,0,0,0,0,false,true,8,220.3473174,true
gamma_0p5,0.5,1987,8,0.3732251521,0.2682215743,251,58,215.6289798,6,0.5487012987,0.4927113703,174,104,314.5767291,0.1754761466,0.224489796,-77,46,true,false,8,215.6289798,false
gamma_0p5,0.5,2001,8,0.375,0.2711370262,250,60,234.0683704,7,0.5842293907,0.4752186589,180,52,267.2230745,0.2092293907,0.2040816327,-70,-8,true,false,8,234.0683704,false
gamma_0p8,0.8,1959,8,0.3742454728,0.2711370262,250,61,438.3577088,7,0.4618181818,0.3702623907,216,80,493.874044,0.087572709,0.0991253645,-34,19,true,false,1,318.7922753,false
gamma_0p8,0.8,1962,8,0.4644194757,0.361516035,219,67,482.3838008,8,0.4644194757,0.361516035,219,67,482.3838008,0,0,0,0,false,true,1,332.1295251,false
gamma_0p8,0.8,1987,8,0.3872255489,0.2827988338,246,61,447.1066131,5,0.4296875,0.3206997085,233,59,548.5205776,0.0424619511,0.0379008747,-13,-2,true,false,1,322.5500596,false
gamma_0p8,0.8,2001,8,0.350305499,0.250728863,257,62,488.8433244,7,0.4224806202,0.3177842566,234,64,509.6265214,0.0721751212,0.0670553936,-23,2,true,false,1,281.6646089,false
gamma_0p9,0.9,1959,8,0.2975929978,0.1982507289,275,46,509.642508,1,0.371257485,0.2711370262,250,65,318.7922753,0.0736644872,0.0728862973,-25,19,true,false,1,318.7922753,true
gamma_0p9,0.9,1962,8,0.2686567164,0.1836734694,280,63,580.4342695,5,0.3900573614,0.2973760933,241,78,583.8534731,0.121400645,0.1137026239,-39,15,true,false,1,332.1295251,false
gamma_0p9,0.9,1987,8,0.3761996161,0.2857142857,245,80,504.9252285,2,0.4472727273,0.3586005831,220,84,473.2638727,0.0710731112,0.0728862974,-25,4,true,false,1,322.5500596,false
gamma_0p9,0.9,2001,8,0.2575107296,0.1749271137,283,63,521.3768458,7,0.3850687623,0.2857142857,245,68,538.5990017,0.1275580327,0.110787172,-38,5,true,false,1,281.6646089,false
gamma_0p95,0.95,1959,8,0.2352941176,0.1516034985,291,47,547.2057331,1,0.371257485,0.2711370262,250,65,318.7922753,0.1359633674,0.1195335277,-41,18,true,false,1,318.7922753,true
gamma_0p95,0.95,1962,8,0.322851153,0.2244897959,266,57,592.9857934,3,0.4038461538,0.306122449,238,72,632.192445,0.0809950008,0.0816326531,-28,15,true,false,1,332.1295251,false
gamma_0p95,0.95,1987,8,0.3543307087,0.2623906706,253,75,598.0760423,2,0.4472727273,0.3586005831,220,84,473.2638727,0.0929420186,0.0962099125,-33,9,true,false,1,322.5500596,false
gamma_0p95,0.95,2001,8,0.2608695652,0.1749271137,283,57,563.1073067,1,0.3759689922,0.2827988338,246,76,281.6646089,0.115099427,0.1078717201,-37,19,true,false,1,281.6646089,true
