optimizer_seed,schedule_label,cooling_factor,budget_label,final_causal_f1,best_checkpoint_causal_f1,delta_best_minus_final,final_causal_recall,best_checkpoint_causal_recall,delta_recall_best_minus_final,final_missing_relations_count,best_checkpoint_missing_relations_count,delta_missing_best_minus_final,final_extra_relations_count,best_checkpoint_extra_relations_count,delta_extra_best_minus_final,final_energy_eave,best_checkpoint_energy_eave,min_energy_eave,block_index_final,block_index_best_causal_f1,block_index_min_energy,best_before_final,best_matches_min_energy
1959,gamma_0p5,0.5,medium_25_25_8,0.4214559387,0.5488215488,0.1273656101,0.3206997085,0.4752186589,0.1545189504,233,180,-53,69,88,19,225.8871118,318.6684922,225.8871118,8,6,8,true,false
1962,gamma_0p5,0.5,medium_25_25_8,0.6095551895,0.6095551895,0,0.5393586006,0.5393586006,0,158,158,0,79,79,0,220.3473174,220.3473174,220.3473174,8,8,8,false,true
1987,gamma_0p5,0.5,medium_25_25_8,0.3732251521,0.5487012987,0.1754761466,0.2682215743,0.4927113703,0.224489796,251,174,-77,58,104,46,215.6289798,314.5767291,215.6289798,8,6,8,true,false
2001,gamma_0p5,0.5,medium_25_25_8,0.375,0.5842293907,0.2092293907,0.2711370262,0.4752186589,0.2040816327,250,180,-70,60,52,-8,234.0683704,267.2230745,234.0683704,8,7,8,true,false
1959,gamma_0p8,0.8,medium_25_25_8,0.3742454728,0.4618181818,0.087572709,0.2711370262,0.3702623907,0.0991253645,250,216,-34,61,80,19,438.3577088,493.874044,318.7922753,8,7,1,true,false
1962,gamma_0p8,0.8,medium_25_25_8,0.4644194757,0.4644194757,0,0.361516035,0.361516035,0,219,219,0,67,67,0,482.3838008,482.3838008,332.1295251,8,8,1,false,false
1987,gamma_0p8,0.8,medium_25_25_8,0.3872255489,0.4296875,0.0424619511,0.2827988338,0.3206997085,0.0379008747,246,233,-13,61,59,-2,447.1066131,548.5205776,322.5500596,8,5,1,true,false
2001,gamma_0p8,0.8,medium_25_25_8,0.350305499,0.4224806202,0.0721751212,0.250728863,0.3177842566,0.0670553936,257,234,-23,62,64,2,488.8433244,509.6265214,281.6646089,8,7,1,true,false
1959,gamma_0p9,0.9,medium_25_25_8,0.2975929978,0.371257485,0.0736644872,0.1982507289,0.2711370262,0.0728862973,275,250,-25,46,65,19,509.642508,318.7922753,318.7922753,8,1,1,true,true
1962,gamma_0p9,0.9,medium_25_25_8,0.2686567164,0.3900573614,0.121400645,0.1836734694,0.2973760933,0.1137026239,280,241,-39,63,78,15,580.4342695,583.8534731,332.1295251,8,5,1,true,false
1987,gamma_0p9,0.9,medium_25_25_8,0.3761996161,0.4472727273,0.0710731112,0.2857142857,0.3586005831,0.0728862974,245,220,-25,80,84,4,504.9252285,473.2638727,322.5500596,8,2,1,true,false
2001,gamma_0p9,0.9,medium_25_25_8,0.2575107296,0.3850687623,0.1275580327,0.1749271137,0.2857142857,0.110787172,283,245,-38,63,68,5,521.3768458,538.5990017,281.6646089,8,7,1,true,false
1959,gamma_0p95,0.95,medium_25_25_8,0.2352941176,0.371257485,0.1359633674,0.1516034985,0.2711370262,0.1195335277,291,250,-41,47,65,18,547.2057331,318.7922753,318.7922753,8,1,1,true,true
1962,gamma_0p95,0.95,medium_25_25_8,0.322851153,0.4038461538,0.0809950008,0.2244897959,0.306122449,0.0816326531,266,238,-28,57,72,15,592.9857934,632.192445,332.1295251,8,3,1,true,false
1987,gamma_0p95,0.95,medium_25_25_8,0.3543307087,0.4472727273,0.0929420186,0.2623906706,0.3586005831,0.0962099125,253,220,-33,75,84,9,598.0760423,473.2638727,322.5500596,8,2,1,true,false
2001,gamma_0p95,0.95,medium_25_25_8,0.2608695652,0.3759689922,0.115099427,0.1749271137,0.2827988338,0.1078717201,283,246,-37,57,76,19,563.1073067,281.6646089,281.6646089,8,1,1,true,true
